fips,county,ercot_zone,pop_2020,pop_2030,pop_2040,pop_2050,growth_pct_2020_2050
48089,Colorado,COAST,21493,24327,27534,31165,45.0
48091,Comal,SCENT,178511,210940,249261,294543,65.0
48093,Comanche,NCENT,13635,15780,18262,21134,55.0
48095,Concho,NCENT,2726,3155,3651,4225,55.0
48097,Cooke,NORTH,42558,44972,47523,50218,18.0
48099,Coryell,SCENT,76192,89115,104229,121907,60.0
48101,Cottle,WEST,1398,1494,1596,1706,22.0
48103,Crane,FWEST,4839,4965,5094,5226,8.0
48105,Crockett,FWEST,3416,3505,3596,3689,8.0
48107,Crosby,WEST,5737,6130,6550,6999,22.0
48109,Culberson,FWEST,2171,2227,2285,2345,8.0
48111,Dallam,WEST,7341,7844,8382,8956,22.0
48113,Dallas,NCENT,2613539,2852398,3113087,3397601,30.0
48115,Dawson,WEST,12833,13712,14652,15656,22.0
48117,Deaf Smith,WEST,18561,19833,21192,22644,22.0
48119,Delta,NORTH,5331,5633,5953,6291,18.0
48121,Denton,NCENT,906422,1092303,1316303,1586239,75.0
48123,DeWitt,SOUTH,20013,22281,24806,27618,38.0
48125,Dickens,WEST,2216,2368,2530,2704,22.0
48127,Dimmit,SOUTH,9996,11129,12390,13794,38.0
48129,Donley,WEST,3278,3503,3743,3999,22.0
48131,Duval,SOUTH,11157,12421,13829,15397,38.0
48133,Eastland,NCENT,18583,21506,24889,28804,55.0
48135,Ector,WEST,165472,176812,188929,201876,22.0
48137,Edwards,SOUTH,1932,2151,2395,2666,38.0
48139,Ellis,NCENT,185748,217252,254100,297197,60.0
48141,El Paso,FWEST,865657,888152,911231,934910,8.0
48143,Erath,NORTH,42698,45120,47679,50384,18.0
48145,Falls,EAST,17297,18069,18876,19719,14.0
48147,Fannin,NORTH,35514,37528,39657,41907,18.0
48149,Fayette,COAST,25346,28688,32470,36752,45.0
48151,Fisher,WEST,3830,4092,4373,4673,22.0
48153,Floyd,WEST,5767,6162,6585,7036,22.0
48155,Foard,NORTH,1155,1221,1290,1363,18.0
48157,Fort Bend,COAST,822779,937642,1068541,1217713,48.0
48159,Franklin,EAST,10679,11156,11654,12174,14.0
48161,Freestone,EAST,19816,20701,21625,22590,14.0
48163,Frio,SOUTH,20306,22607,25170,28022,38.0
48165,Gaines,WEST,21492,22965,24539,26220,22.0
48167,Galveston,COAST,342139,387250,438310,496102,45.0
48169,Garza,WEST,6229,6656,7112,7599,22.0
48171,Gillespie,SCENT,26208,30653,35852,41933,60.0
48173,Glasscock,WEST,1572,1680,1795,1918,22.0
48175,Goliad,SOUTH,7531,8385,9335,10393,38.0
48177,Gonzales,SCENT,20837,24371,28505,33339,60.0
48179,Gray,WEST,21886,23386,24988,26701,22.0
48181,Grayson,NORTH,136212,143938,152103,160730,18.0
48183,Gregg,EAST,123945,129478,135259,141297,14.0
48185,Grimes,EAST,28880,30169,31516,32923,14.0
48187,Guadalupe,SCENT,174680,204307,238959,279488,60.0
48189,Hale,WEST,33406,35695,38141,40755,22.0
48191,Hall,WEST,2964,3167,3384,3616,22.0
48193,Hamilton,NORTH,8461,8941,9448,9984,18.0
48195,Hansford,WEST,5399,5769,6164,6587,22.0
48197,Hardeman,NORTH,3933,4156,4392,4641,18.0
48199,Hardin,EAST,57602,60174,62860,65666,14.0
48201,Harris,COAST,4731145,5267355,5864338,6528980,38.0
48203,Harrison,EAST,67906,70938,74105,77413,14.0
48205,Hartley,WEST,5576,5958,6366,6803,22.0
48207,Haskell,NORTH,5658,5979,6318,6676,18.0
48209,Hays,SCENT,246521,294219,351145,419086,70.0
48211,Hemphill,WEST,4018,4293,4588,4902,22.0
48213,Henderson,EAST,82737,86431,90289,94320,14.0
48215,Hidalgo,SOUTH,870781,969472,1079348,1201678,38.0
48217,Hill,NORTH,35972,38012,40169,42447,18.0
48219,Hockley,WEST,23021,24599,26284,28086,22.0
48221,Hood,NORTH,69468,73408,77572,81972,18.0
48223,Hopkins,EAST,37084,38740,40469,42276,14.0
48225,Houston,EAST,23225,24262,25345,26476,14.0
48227,Howard,WEST,36664,39177,41861,44730,22.0
48229,Hudspeth,FWEST,3476,3566,3659,3754,8.0
48231,Hunt,NORTH,98594,104186,110096,116341,18.0
48233,Hutchinson,WEST,21198,22651,24203,25862,22.0
