fips,county,lat,lon,ercot_zone,twdb_region,pop_2020,pop_2030,pop_2040,pop_2050,pop_growth_pct,water_2020_kaf,water_2030_kaf,water_2040_kaf,water_2050_kaf,water_growth_pct,elec_peak_2020_mw,elec_peak_2030_mw,elec_peak_2040_mw,elec_peak_2050_mw,elec_growth_pct,new_load_mw
48269,King,33.62,-100.26,WEST,B,272,291,311,332,22.1,0.3,0.31,0.32,0.33,10.0,0.8,1.2,2.0,3.3,312.5,0
48271,Kinney,29.35,-100.42,SOUTH,L,3675,4092,4555,5071,38.0,2.57,2.78,3.0,3.24,26.1,6.6,8.9,11.9,16.1,143.9,951.62
48273,Kleberg,27.43,-97.88,SOUTH,N,31425,34987,38952,43366,38.0,28.28,30.54,32.98,35.62,26.0,56.6,76.0,102.2,137.3,142.6,0
48275,Knox,33.61,-99.75,NORTH,B,3664,3872,4091,4324,18.0,4.03,4.13,4.23,4.34,7.7,8.1,9.8,12.0,14.6,80.2,1796.66
48277,Lamar,33.67,-95.57,NORTH,D,49859,52687,55676,58834,18.0,30.91,31.69,32.48,33.29,7.7,109.7,133.7,163.0,198.7,81.1,2371.48
48279,Lamb,34.07,-102.35,WEST,O,13262,14171,15142,16180,22.0,19.89,20.62,21.37,22.15,11.4,37.1,60.5,98.5,160.5,332.6,1313.64
48281,Lampasas,31.2,-98.18,SCENT,G,21891,25604,29946,35026,60.0,14.89,16.89,19.16,21.74,46.0,43.8,64.8,95.9,142.0,224.2,618.05
48283,La Salle,28.34,-99.1,SOUTH,L,7418,8259,9195,10237,38.0,5.19,5.61,6.06,6.54,26.0,13.4,17.9,24.1,32.4,141.8,6256.21
48285,Lavaca,29.38,-96.93,COAST,N,20154,22811,25819,29223,45.0,18.14,19.91,21.86,24.0,32.3,48.4,61.9,79.3,101.5,109.7,1628.78
48287,Lee,30.32,-96.97,EAST,K,17239,18009,18813,19652,14.0,8.27,8.38,8.5,8.61,4.1,39.6,47.4,56.6,67.7,71.0,2944.36
48289,Leon,31.3,-95.98,EAST,K,17873,18671,19504,20375,14.0,8.58,8.69,8.81,8.93,4.1,41.1,49.1,58.7,70.2,70.8,3400.35
48291,Liberty,30.15,-94.82,COAST,I,88219,99851,113016,127918,45.0,63.52,69.74,76.56,84.06,32.3,211.7,271.0,346.9,444.1,109.8,2005.4
48293,Limestone,31.55,-96.59,EAST,G,23437,24483,25576,26718,14.0,15.94,16.15,16.36,16.58,4.0,53.9,64.4,77.0,92.1,70.9,3325.76
48295,Lipscomb,36.28,-100.27,WEST,A,3233,3455,3691,3944,22.0,4.53,4.69,4.86,5.04,11.3,9.1,14.7,24.0,39.1,329.7,107.6
48297,Live Oak,28.35,-98.12,SOUTH,N,12388,13792,15355,17095,38.0,11.15,12.04,13.0,14.04,25.9,22.3,30.0,40.3,54.1,142.6,1148.34
48299,Llano,30.75,-98.68,SCENT,J,21795,25492,29815,34872,60.0,26.15,29.67,33.66,38.19,46.0,43.6,64.5,95.5,141.4,224.3,0
48301,Loving,31.85,-103.53,FWEST,F,64,66,67,69,7.8,0.12,0.12,0.11,0.11,-8.3,0.1,0.1,0.2,0.2,100.0,0
48303,Lubbock,33.57,-101.89,WEST,O,321372,343396,366928,392074,22.0,482.06,499.64,517.86,536.75,11.3,899.8,1465.7,2387.5,3889.1,332.2,1065.5
48305,Lynn,33.18,-101.82,WEST,O,5765,6160,6582,7033,22.0,8.65,8.96,9.29,9.63,11.3,16.1,26.3,42.8,69.8,333.5,3383.76
48307,McCulloch,31.2,-99.35,NCENT,F,7984,9240,10693,12375,55.0,14.37,16.13,18.11,20.33,41.5,16.8,23.7,33.4,47.1,180.4,1002.37
48309,McLennan,31.55,-97.15,EAST,G,256623,268080,280048,292550,14.0,174.5,176.83,179.18,181.56,4.0,590.2,705.5,843.3,1008.0,70.8,40.63
48311,McMullen,28.35,-99.35,SOUTH,L,707,787,876,976,38.0,0.49,0.53,0.58,0.62,26.5,1.3,1.7,2.3,3.1,138.5,43.64
48313,Madison,30.96,-95.92,EAST,K,14128,14759,15418,16106,14.0,6.78,6.87,6.96,7.06,4.1,32.5,38.8,46.4,55.5,70.8,7548.05
48315,Marion,32.8,-94.36,EAST,D,10083,10533,11003,11495,14.0,6.25,6.33,6.42,6.5,4.0,23.2,27.7,33.1,39.6,70.7,5812.53
